method,class,true_freq,predicted_freq,attribution_score,consistency_score
integrated_gradients,fault_heavy,50.0,41.65384615384615,0.6841579261824667,0.5967366242603712
integrated_gradients,fault_light,20.0,18.647368421052633,0.6646262778336061,0.6264859139891871
integrated_gradients,normal,5.0,5.2727272727272725,0.9706441349009068,
saliency,fault_heavy,50.0,39.638461538461534,0.6508128942076415,0.5864114759402739
saliency,fault_light,20.0,22.31578947368421,0.7419332175131228,0.5599050062980581
saliency,normal,5.0,5.259090909090909,0.971085253858962,
smoothgrad,fault_heavy,50.0,41.36923076923077,0.6901076452469336,0.5718343154783587
smoothgrad,fault_light,20.0,22.31578947368421,0.7419332175131228,0.5570595032551037
smoothgrad,normal,5.0,5.259090909090909,0.971085253858962,
